nummer,namn,naringsnamn,gruppering,mangd,enhet
2,Gris späck,Fettsyra 4:0-10:0,"Övrigt fett (ister, talg, kokosfett)",0.0,g
2,Gris späck,DHA (C22:6),"Övrigt fett (ister, talg, kokosfett)",0.0,g
2,Gris späck,DPA (C22:5),"Övrigt fett (ister, talg, kokosfett)",0.0,g
2,Gris späck,EPA (C20:5),"Övrigt fett (ister, talg, kokosfett)",0.0,g
2,Gris späck,Arakidonsyra C20:4,"Övrigt fett (ister, talg, kokosfett)",0.0,g
2,Gris späck,Arakidinsyra C20:0,"Övrigt fett (ister, talg, kokosfett)",0.2,g
2,Gris späck,Linolensyra C18:3,"Övrigt fett (ister, talg, kokosfett)",0.7,g
2,Gris späck,Linolsyra C18:2,"Övrigt fett (ister, talg, kokosfett)",7.8,g
2,Gris späck,Oljesyra C18:1,"Övrigt fett (ister, talg, kokosfett)",35.2,g
2,Gris späck,Stearinsyra C18:0,"Övrigt fett (ister, talg, kokosfett)",10.6,g
2,Gris späck,Palmitoljesyra C16:1,"Övrigt fett (ister, talg, kokosfett)",2.3,g
2,Gris späck,Palmitinsyra C16:0,"Övrigt fett (ister, talg, kokosfett)",20.7,g
2,Gris späck,Myristinsyra C14:0,"Övrigt fett (ister, talg, kokosfett)",1.0,g
2,Gris späck,Laurinsyra C12:0,"Övrigt fett (ister, talg, kokosfett)",0.1,g
2,Gris späck,Betakaroten/β-Karoten,"Övrigt fett (ister, talg, kokosfett)",0.0,µg
2,Gris späck,Avfall (skal etc.),"Övrigt fett (ister, talg, kokosfett)",0.0,%
2,Gris späck,Aska,"Övrigt fett (ister, talg, kokosfett)",0.7,g
2,Gris späck,Alkohol,"Övrigt fett (ister, talg, kokosfett)",0.0,g
3,Gris ister,"Zink, Zn","Övrigt fett (ister, talg, kokosfett)",0.1,mg
3,Gris ister,Vitamin E,"Övrigt fett (ister, talg, kokosfett)",1.2,mg
3,Gris ister,Vitamin D,"Övrigt fett (ister, talg, kokosfett)",0.0,µg
3,Gris ister,Vitamin C,"Övrigt fett (ister, talg, kokosfett)",0.0,mg
3,Gris ister,Vitamin B6,"Övrigt fett (ister, talg, kokosfett)",0.0,mg
3,Gris ister,Vitamin B12,"Övrigt fett (ister, talg, kokosfett)",0.0,µg
3,Gris ister,Vitamin A,"Övrigt fett (ister, talg, kokosfett)",9.0,RE/µg
