,Livsmedelsnamn,Livsmedelsnummer,Gruppering,Näringsämne,Värde
82179,Pommes frites smaksatta frysvara,6780,Rätter,DHA (C22:6) (g),0.0
82180,Frukostflingor majs typ cornflakes,6781,"Flingor, frukostflingor, müsli, gröt, välling",DHA (C22:6) (g),0.0
82181,Ris sushiris kokt,6782,"Pasta, ris, gryn",DHA (C22:6) (g),0.0
82182,Nudlar äggnudlar kokta u. salt,6786,"Pasta, ris, gryn",DHA (C22:6) (g),0.0
82183,Havregurt hallon berikad,6790,Mejeri,DHA (C22:6) (g),0.0
82184,Havregurt blåbär hallon berikad,6791,Mejeri,DHA (C22:6) (g),0.0
82185,Havregurt jordgubb berikad,6792,Mejeri,DHA (C22:6) (g),0.0
82186,Havregurt vanilj berikad,6793,Mejeri,DHA (C22:6) (g),0.0
82187,"Havredryck fett 1,5% eko. berikad",6795,Dryck,DHA (C22:6) (g),0.0
82188,"Havredryck fett 0,5 % eko. berikad",6797,Dryck,DHA (C22:6) (g),0.0
82189,Havregurt naturell fett 11 % berikad,6801,Mejeri,DHA (C22:6) (g),0.0
82190,Glass havreglass chokladfudge,6802,Glass,DHA (C22:6) (g),0.0
82191,Glass havreglass karamell hasselnöt,6803,Glass,DHA (C22:6) (g),0.0
82192,Glass havreglass karamell vanilj,6804,Glass,DHA (C22:6) (g),0.0
82193,Havrebaserat bredbart pålägg tomat basilika,6807,Pålägg,DHA (C22:6) (g),0.0
82194,Havrebaserat bredbart pålägg vitlök gurka,6808,Pålägg,DHA (C22:6) (g),0.0
82195,"Havredryck choklad fett 2,5 % berikad",6809,Dryck,DHA (C22:6) (g),0.0
82196,Havregurt smaksatt berikad,6812,Mejeri,DHA (C22:6) (g),0.0
82197,"Havredryck fett 3,0% berikad",6813,Dryck,DHA (C22:6) (g),0.0
82198,Glass havreglass smaksatt,6814,Glass,DHA (C22:6) (g),0.0
82199,Havrebaserat bredbart pålägg smaksatt,6815,Pålägg,DHA (C22:6) (g),0.0
