,Livsmedelsnamn,Livsmedelsnummer,Gruppering,Näringsämne,Värde
37259,Korv falukorv ugnsstekt,1537,Rätter,Fullkorn totalt (g),0.0
37260,Korv wienerkorv kokt,1540,Korv,Fullkorn totalt (g),0.0
37261,Pölsa stekt värmd,1541,Rätter,Fullkorn totalt (g),0.0
37262,Pölsa,1543,Rätter,Fullkorn totalt (g),0.0
37263,Korv stroganoff hemlagad i gjutjärnsstekpanna,1544,Rätter,Fullkorn totalt (g),0.0
37264,Gryta korvgryta m. chorizo rotfrukter,1548,Rätter,Fullkorn totalt (g),0.0
37265,Tunnbrödrulle m. korv potatismos räk- gurksallad,1551,Rätter,Fullkorn totalt (g),0.0
37266,Kalvsylta,1553,Rätter,Fullkorn totalt (g),0.0
37267,Pressylta,1554,Rätter,Fullkorn totalt (g),0.0
37268,Hushållssylta,1555,Rätter,Fullkorn totalt (g),0.0
37269,Cashewnötter rostade u. salt,1557,"Nötter, frön",Fullkorn totalt (g),0.0
37270,Hasselnötter,1558,"Nötter, frön",Fullkorn totalt (g),0.0
37271,Jordnötssmör,1559,Pålägg,Fullkorn totalt (g),0.0
37272,Jordnötter torkade,1560,"Nötter, frön",Fullkorn totalt (g),0.0
37273,Jordnötter rostade,1561,"Nötter, frön",Fullkorn totalt (g),0.0
37274,Jordnötter rostade saltade,1562,"Nötter, frön",Fullkorn totalt (g),0.0
37275,Kastanjer,1563,"Nötter, frön",Fullkorn totalt (g),0.0
37276,Kokosflingor,1564,"Nötter, frön",Fullkorn totalt (g),0.0
37277,Kokosnöt,1565,"Nötter, frön",Fullkorn totalt (g),0.0
37278,Kokosmjölk fett ca 6%,1566,"Nötter, frön",Fullkorn totalt (g),0.0
37279,Linfrö hela,1567,"Nötter, frön",Fullkorn totalt (g),0.0
37280,Paranötter,1568,"Nötter, frön",Fullkorn totalt (g),0.0
37281,Pekannötter,1569,"Nötter, frön",Fullkorn totalt (g),0.0
37282,Pistaschnötter u. salt,1570,"Nötter, frön",Fullkorn totalt (g),0.0
37283,Pumpafrö,1571,"Nötter, frön",Fullkorn totalt (g),0.0
37284,Sesamfrö m. skal,1572,"Nötter, frön",Fullkorn totalt (g),0.0
37285,Sesamfrö u. skal,1573,"Nötter, frön",Fullkorn totalt (g),0.0
37286,Solrosfrö,1574,"Nötter, frön",Fullkorn totalt (g),0.0
37287,Sötmandel,1575,"Nötter, frön",Fullkorn totalt (g),0.0
37288,Valnötter,1576,"Nötter, frön",Fullkorn totalt (g),0.0
37289,Kastanjer rostade,1577,"Nötter, frön",Fullkorn totalt (g),0.0
37290,Kikärtor snacks torkade m. salt,1579,Snacks,Fullkorn totalt (g),0.0
37291,Jordnötsbågar jordnötsringar,1580,Snacks,Fullkorn totalt (g),0.0
37292,Chips majs tortilla ,1581,Snacks,Fullkorn totalt (g),0.0
37293,Ostbågar,1582,Snacks,Fullkorn totalt (g),0.0
37294,Chips potatis m. havssalt,1584,Snacks,Fullkorn totalt (g),0.0
37295,Salta pinnar,1585,Snacks,Fullkorn totalt (g),0.0
37296,Popcorn mikropopcorn poppade fett ca 22%,1586,Snacks,Fullkorn totalt (g),83.0
37297,Chips potatis smaksatta fett ca 33%,1587,Snacks,Fullkorn totalt (g),0.0
37298,Chips potatis light fett 25%,1588,Snacks,Fullkorn totalt (g),0.0
37299,Japanmix blandade snacks m. inbakade nötter riscracker,1589,Snacks,Fullkorn totalt (g),0.0
37300,Kokosmjölk fett ca 24%,1590,"Nötter, frön",Fullkorn totalt (g),0.0
37301,Vatten kokosvatten,1591,Dryck,Fullkorn totalt (g),0.0
37302,Sesamdryck vattenextrakt av frön m. skal,1592,Dryck,Fullkorn totalt (g),0.0
37303,Sesamdryck vattenextrakt av frön u. skal,1593,Dryck,Fullkorn totalt (g),0.0
37304,Sött vetebröd kanelbulle hembakad,1594,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37305,Skorpor råg,1595,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37306,Skorpor vete osötade,1597,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37307,Sött vetebröd,1598,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37308,Sött vetebröd slätt,1599,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37309,Sött vetebröd sötat m. fruktsocker,1600,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37310,Vetebröd osötat,1601,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37311,Sött vetebröd m. fyllning bulle längd,1602,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37312,Skorpor vete,1603,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37313,Skorpor fullkorn osötade,1604,"Bullar, kakor, tårtor",Fullkorn totalt (g),60.0
37314,Mandelkubb,1605,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37315,Munk u. fyllning,1606,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37316,Munk fylld m. äppelmos vaniljkräm,1607,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37317,Wienerbröd m. vaniljkräm sylt florsocker,1608,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37318,Sött vetebröd bakpulver,1609,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37319,Sött vetebröd saffransbröd hembakad,1610,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37320,Kex cream crackers,1611,Bröd,Fullkorn totalt (g),0.0
37321,Kex rån m. cremefyllning smaksatt,1612,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37322,Kex havrekex fullkorn,1613,"Bullar, kakor, tårtor",Fullkorn totalt (g),61.0
37323,Kex Mariekex,1614,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37324,Kex mördegskex,1615,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37325,Kex m. syltfyllning,1616,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37326,Kex m. nougatfyllning,1617,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37327,Maräng m. choklad,1618,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37328,Småkakor olika sorter,1619,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37329,Jitterbugg m. mördeg maräng,1620,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37330,Cookie amerikansk m. choklad,1621,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37331,Kex smörgåskex,1623,Bröd,Fullkorn totalt (g),0.0
37332,Pepparkaka,1624,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37333,Spettekaka,1625,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37334,Maräng,1626,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37335,Kex m. fyllning,1627,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37336,Kex ostkex,1628,Bröd,Fullkorn totalt (g),0.0
37337,Kex salta,1629,Bröd,Fullkorn totalt (g),0.0
37338,Kex salta m. mjölk,1630,Bröd,Fullkorn totalt (g),0.0
37339,Kex u. socker,1631,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37340,Pepparkaka u. socker,1632,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37341,Kex smörgåsrån,1633,Bröd,Fullkorn totalt (g),0.0
37342,Glasstrut våffla ofylld,1636,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37343,Småkakor u. socker,1637,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37344,Mandelbiskvi,1638,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37345,Deg mördeg gräddad,1639,Bröd,Fullkorn totalt (g),0.0
37346,Deg smördeg gräddad,1640,Bröd,Fullkorn totalt (g),0.0
37347,Deg smördeg frysvara,1641,Bröd,Fullkorn totalt (g),0.0
37348,Deg filodeg kylvara el. frysvara,1642,Bröd,Fullkorn totalt (g),0.0
37349,Gräddtårta,1645,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37350,Toscabit m. mazarinmassa mandel choklad,1646,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37351,Bärtårta m. grädde vaniljkräm sylt gele,1647,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37352,Prinsesstårta m. grädde vaniljkräm hallonsylt marsipan,1648,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37353,Chokladtårta Sachertårta,1649,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37354,Napoleonbakelse m. grädde vaniljkräm hallonsylt glasyr,1650,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37355,Frukttårta m. hallonsylt vaniljkräm mandelmassa frukt gele,1651,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37356,Chokladbiskvi m. mandelbotten smörkräm choklad,1652,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37357,Mazariner m. mördegsbotten mazarinfyllning glasyr,1653,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37358,Mjuk kaka drömtårta chokladrulltårta,1654,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37359,Mjuk kaka rulltårta m. sylt,1655,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37360,Punschrulle,1656,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37361,Chokladboll,1657,"Bullar, kakor, tårtor",Fullkorn totalt (g),27.0
37362,Gräddtårta m. jordgubb banan hemlagad,1658,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37363,Potatisbakelse m. vaniljkräm smörkräm marsipan,1659,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37364,Äppelkaka m. ströbröd,1660,"Bullar, kakor, tårtor",Fullkorn totalt (g),2.0
37365,Mjuk kaka drömtårta chokladrulltårta hemlagad,1661,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37366,Semla vetebulle fylld m. mandelmassa vispad grädde,1662,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37367,Mjuk kaka chokladruta m. chokladglasyr riven kokos,1663,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37368,Mjuk kaka ambrosiakaka sockerkaka m. glasyr,1664,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37369,Arraksboll,1666,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37370,Petit-choux u. fyllning,1667,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37371,Semla vetebulle fylld m. mandelmassa vispad grädde hemlagad,1668,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37372,Mjuk kaka fransk äppelkaka,1669,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37373,Mjuk kaka toscakaka,1671,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37374,Mjuk kaka chokladkaka,1672,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37375,Muffins amerikansk,1677,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37376,Mjuk kaka sockerkaka pepparkaka,1678,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37377,Mjuk kaka tårtbotten,1679,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37378,Mjuk kaka sockerkaka fin,1681,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37379,Mjuk kaka pepparkaka,1682,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37380,Mjuk kaka nötkaka,1683,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37381,Mjuk kaka sockerkaka fin mager,1684,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37382,Mjuk kaka sockerkaka saftig,1685,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37383,Kex digestive fullkorn 23%,1686,"Bullar, kakor, tårtor",Fullkorn totalt (g),23.0
37384,Mjuk kaka fruktkaka,1687,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37385,Glass gräddglass fett 12%,1689,Glass,Fullkorn totalt (g),0.0
37386,Glass vaniljsmak fett ca 8%,1690,Glass,Fullkorn totalt (g),0.0
37387,Glass fett ca 10%,1691,Glass,Fullkorn totalt (g),0.0
37388,Glass glasstrut fett ca 15%,1692,Glass,Fullkorn totalt (g),0.0
37389,Glass lättglass m. sötningsm. fett ca 6%,1693,Glass,Fullkorn totalt (g),0.0
37390,Glass glasstrut våffla m. vaniljglass daimbitar chokladöverdrag,1694,Glass,Fullkorn totalt (g),0.0
37391,Glass vaniljglass m. chokladkex,1695,Glass,Fullkorn totalt (g),0.0
37392,Glass gräddglass fett 15%,1696,Glass,Fullkorn totalt (g),0.0
37393,Glass fett 12%,1697,Glass,Fullkorn totalt (g),0.0
37394,Glass lättglass fett ca 5%,1698,Glass,Fullkorn totalt (g),0.0
37395,Glass glasspinne fett ca 25%,1699,Glass,Fullkorn totalt (g),0.0
37396,Glass glasspinne m. kakaoöverdrag fett 20%,1700,Glass,Fullkorn totalt (g),0.0
37397,Glass glasspinne el. split m. isöverdrag fett ca 6%,1701,Glass,Fullkorn totalt (g),0.0
37398,Glass glasstrut fett ca 10%,1702,Glass,Fullkorn totalt (g),0.0
37399,Glass mjukglass bägare,1703,Glass,Fullkorn totalt (g),0.0
37400,Glass glasstårta fett 17%,1705,Glass,Fullkorn totalt (g),0.0
37401,Glass m. maräng fett 10%,1706,Glass,Fullkorn totalt (g),0.0
37402,Glass havreglass m. vanilji fett 13%,1707,Glass,Fullkorn totalt (g),0.0
37403,Glass parfait m. bär,1708,Glass,Fullkorn totalt (g),0.0
37404,Matlagningsbas m. havre fett 13%,1712,Mejeri,Fullkorn totalt (g),0.0
37405,Gräddfil fett 12%,1713,Mejeri,Fullkorn totalt (g),0.0
37406,Kaffegrädde fett 12%,1714,Mejeri,Fullkorn totalt (g),0.0
37407,Vispgrädde fett 40%,1715,Mejeri,Fullkorn totalt (g),0.0
37408,Mellangrädde fett 27%,1716,Mejeri,Fullkorn totalt (g),0.0
37409,Matlagningsgrädde fett 15%,1717,Mejeri,Fullkorn totalt (g),0.0
37410,Crème fraiche fett 34%,1719,Mejeri,Fullkorn totalt (g),0.0
37411,Gräddersättning pulver fett 35%,1725,Mejeri,Fullkorn totalt (g),0.0
37412,Gräddfilssås m. kryddgrönt,1726,Rätter,Fullkorn totalt (g),0.0
37413,Gräddfilssås fett 9%,1727,Rätter,Fullkorn totalt (g),0.0
37414,Gräddfilssås m. crème fraiche,1728,Rätter,Fullkorn totalt (g),0.0
37415,Rabarberkräm,1729,Rätter,Fullkorn totalt (g),0.0
37416,Rabarbersoppa,1730,Rätter,Fullkorn totalt (g),0.0
37417,Apelsinsoppa,1732,Rätter,Fullkorn totalt (g),0.0
37418,Blåbärssoppa hemlagad,1734,Rätter,Fullkorn totalt (g),0.0
37419,Svartvinbärskräm,1740,Rätter,Fullkorn totalt (g),0.0
37420,Äppelkompott,1741,Rätter,Fullkorn totalt (g),0.0
37421,Äppelkräm,1742,Rätter,Fullkorn totalt (g),0.0
37422,Äppelsoppa,1743,Rätter,Fullkorn totalt (g),0.0
37423,Kräm m. bär el. frukt,1744,Rätter,Fullkorn totalt (g),0.0
37424,Pajfyllning bär m. socker,1745,"Frukt, bär",Fullkorn totalt (g),0.0
37425,Saftkräm,1746,Rätter,Fullkorn totalt (g),0.0
37426,Saftsoppa,1747,Rätter,Fullkorn totalt (g),0.0
37427,Saftsås,1748,Rätter,Fullkorn totalt (g),0.0
37428,Fruktdryck blåbär berikad,1749,Dryck,Fullkorn totalt (g),0.0
37429,Fruktsoppa pastöriserad ätf. blandad torkad frukt berikad,1750,Rätter,Fullkorn totalt (g),0.0
37430,Nyponsoppa ätf. pastöriserad el. pulver berikad ,1751,Rätter,Fullkorn totalt (g),0.0
37431,Nyponsoppa ätf. pulver osötad berikad,1752,Dryck,Fullkorn totalt (g),0.0
37432,Mjuk kaka m. katrinplommon,1758,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37433,Kalvdans m. mjölkpulver ägg,1759,Rätter,Fullkorn totalt (g),0.0
37434,Ostkaka m. cottage cheese,1760,Rätter,Fullkorn totalt (g),0.0
37435,Marängsviss hovdessert,1761,Rätter,Fullkorn totalt (g),0.0
37436,Brylépudding,1762,Rätter,Fullkorn totalt (g),0.0
37437,Vaniljsås m. mellanmjölk matlagningsgrädde vispgrädde hemlagad,1763,Rätter,Fullkorn totalt (g),0.0
37438,Chokladpudding,1764,Rätter,Fullkorn totalt (g),0.0
37439,Chokladpudding m. vispad grädde fett 40%,1765,Rätter,Fullkorn totalt (g),0.0
37440,Chokladmousse,1766,Rätter,Fullkorn totalt (g),0.0
37441,Fromage apelsin el. citron hemlagad,1767,Rätter,Fullkorn totalt (g),0.0
37442,Glassås choklad hemlagad,1768,Rätter,Fullkorn totalt (g),0.0
37443,Glassås kolasås,1769,Rätter,Fullkorn totalt (g),0.0
37444,Vaniljpudding,1770,Rätter,Fullkorn totalt (g),0.0
37445,Vaniljsås m. grädde mjölk,1771,Rätter,Fullkorn totalt (g),0.0
37446,Ostkaka lätt osötad fett 3%,1773,Rätter,Fullkorn totalt (g),0.0
37447,Fromage citron,1775,Rätter,Fullkorn totalt (g),0.0
37448,Vaniljsås m. havre fett 11%,1776,Rätter,Fullkorn totalt (g),0.0
37449,Vaniljsås tillagad pulver m. mjölk,1777,Rätter,Fullkorn totalt (g),0.0
37450,Glassås choklad,1778,Rätter,Fullkorn totalt (g),0.0
37451,Glassås frukt,1779,Rätter,Fullkorn totalt (g),0.0
37452,Rabarberpaj,1781,Rätter,Fullkorn totalt (g),1.0
37453,Äppelpaj m. lock,1782,Rätter,Fullkorn totalt (g),0.0
37454,Cheesecake m. digestivebotten bär fryst,1783,Rätter,Fullkorn totalt (g),3.0
37455,Cheesecake m. digestivebotten,1784,Rätter,Fullkorn totalt (g),3.0
37456,Mannagrynskaka mannagrynspudding,1785,Rätter,Fullkorn totalt (g),0.0
37457,Äppelsmulpaj,1786,Rätter,Fullkorn totalt (g),3.0
37458,Katrinplommonsufflé,1788,Rätter,Fullkorn totalt (g),0.0
37459,Äppelpaj friterad,1789,Rätter,Fullkorn totalt (g),0.0
37460,Banan friterad,1790,Rätter,Fullkorn totalt (g),0.0
37461,Äpple ugnsstekt m. olja el. flytande margarin socker mandelmassa valnötter,1791,Rätter,Fullkorn totalt (g),0.0
37462,Banan friterad m. glass tillagad på restaurang,1792,Rätter,Fullkorn totalt (g),0.0
37463,Apelsinmarmelad,1793,"Sylt, marmelad, gelé, chutney",Fullkorn totalt (g),0.0
37464,Gelé röda vinbär,1794,"Sylt, marmelad, gelé, chutney",Fullkorn totalt (g),0.0
37465,Gelé svarta vinbär,1795,"Sylt, marmelad, gelé, chutney",Fullkorn totalt (g),0.0
37466,Apelsinmarmelad lättsockrad lag,1796,"Sylt, marmelad, gelé, chutney",Fullkorn totalt (g),0.0
37467,Marmelad olika smaker,1797,"Sylt, marmelad, gelé, chutney",Fullkorn totalt (g),0.0
37468,Lingonsylt,1798,"Sylt, marmelad, gelé, chutney",Fullkorn totalt (g),0.0
37469,Lingonsylt sötningsm.,1800,"Sylt, marmelad, gelé, chutney",Fullkorn totalt (g),0.0
37470,Jordgubbssylt,1801,"Sylt, marmelad, gelé, chutney",Fullkorn totalt (g),0.0
37471,Björnbärssylt,1802,"Sylt, marmelad, gelé, chutney",Fullkorn totalt (g),0.0
37472,Blåbärssylt,1803,"Sylt, marmelad, gelé, chutney",Fullkorn totalt (g),0.0
37473,Hallonsylt,1804,"Sylt, marmelad, gelé, chutney",Fullkorn totalt (g),0.0
37474,Hjortronsylt,1805,"Sylt, marmelad, gelé, chutney",Fullkorn totalt (g),0.0
37475,Krusbärssylt,1806,"Sylt, marmelad, gelé, chutney",Fullkorn totalt (g),0.0
37476,Körsbärssylt,1808,"Sylt, marmelad, gelé, chutney",Fullkorn totalt (g),0.0
37477,Äppelmos,1809,"Sylt, marmelad, gelé, chutney",Fullkorn totalt (g),0.0
37478,Äppelmos lättsockrad,1810,"Sylt, marmelad, gelé, chutney",Fullkorn totalt (g),0.0
37479,Äppelmos osötad el. sötningsm.,1811,"Sylt, marmelad, gelé, chutney",Fullkorn totalt (g),0.0
37480,Cumberlandsås,1812,Rätter,Fullkorn totalt (g),0.0
37481,Apelsinsaft konc. berikad,1814,Dryck,Fullkorn totalt (g),0.0
37482,Apelsinsaft drickf. berikad,1815,Dryck,Fullkorn totalt (g),0.0
37483,Saft lättsockrad konc.,1817,Dryck,Fullkorn totalt (g),0.0
37484,Måltidsdryck drickf.,1818,Dryck,Fullkorn totalt (g),0.0
37485,Saft konc.,1819,Dryck,Fullkorn totalt (g),0.0
37486,Saft drickf.,1820,Dryck,Fullkorn totalt (g),0.0
37487,Svartvinbärssaft konc. berikad,1821,Dryck,Fullkorn totalt (g),0.0
37488,Saft sötningsm. konc.,1822,Dryck,Fullkorn totalt (g),0.0
37489,Fruktdryck u. kolsyra,1827,Dryck,Fullkorn totalt (g),0.0
37490,Läsk,1828,Dryck,Fullkorn totalt (g),0.0
37491,Läsk cola,1829,Dryck,Fullkorn totalt (g),0.0
37492,Läsk light,1830,Dryck,Fullkorn totalt (g),0.0
37493,Läsk cola light,1831,Dryck,Fullkorn totalt (g),0.0
37494,Sportdryck drickf.,1832,"Måltidsersättning, sportpreparat",Fullkorn totalt (g),0.0
37495,Saft sötningsm. drickf.,1834,Dryck,Fullkorn totalt (g),0.0
37496,Hallonsaft drickf.,1837,Dryck,Fullkorn totalt (g),0.0
37497,Svartvinbärssaft drickf. berikad,1838,Dryck,Fullkorn totalt (g),0.0
37498,Lingondricka drickf. berikad,1840,Dryck,Fullkorn totalt (g),0.0
37499,Äppeldricka drickf. berikad,1841,Dryck,Fullkorn totalt (g),0.0
37500,Saft sötningsm. drickf. berikad,1842,Dryck,Fullkorn totalt (g),0.0
37501,Glass isglass,1843,Glass,Fullkorn totalt (g),0.0
37502,Glass sorbet,1844,Glass,Fullkorn totalt (g),0.0
37503,Glass isglass saftis,1845,Glass,Fullkorn totalt (g),0.0
37504,Chokladdryck m. vatten,1846,Dryck,Fullkorn totalt (g),0.0
37505,Chokladdryck drickf.,1847,Dryck,Fullkorn totalt (g),0.0
37506,Mjölkchoklad m. hackade hasselnötter,1848,Godis,Fullkorn totalt (g),0.0
37507,Mjölkchoklad fylld m. mandelkrokant,1849,Godis,Fullkorn totalt (g),0.0
37508,Mjölkchoklad m. mjuk kolafyllning,1850,Godis,Fullkorn totalt (g),0.0
37509,Kex m. mjölkchokladöverdrag,1851,Godis,Fullkorn totalt (g),0.0
37510,Kex m. kola mjölkchokladöverdrag,1852,Godis,Fullkorn totalt (g),0.0
37511,Mjuk nougat m. kolasås jordnötter mjölkchokladöverdrag,1853,Godis,Fullkorn totalt (g),0.0
37512,Mjuk chokladmaräng m. kola mjölkchokladöverdrag,1854,Godis,Fullkorn totalt (g),0.0
37513,Choklad chokladpraliner,1855,Godis,Fullkorn totalt (g),0.0
37514,Chokladpralin,1858,Godis,Fullkorn totalt (g),0.0
37515,Mjuk kokos m. mjölkchokladöverdrag,1859,Godis,Fullkorn totalt (g),0.0
37516,Nötkräm chokladkräm,1860,Pålägg,Fullkorn totalt (g),0.0
37517,Mjölkchoklad m. sötningsm.,1861,Godis,Fullkorn totalt (g),0.0
37518,Gelégodis,1863,Godis,Fullkorn totalt (g),0.0
37519,Karameller,1864,Godis,Fullkorn totalt (g),0.0
37520,Kola,1865,Godis,Fullkorn totalt (g),0.0
37521,Marmeladkonfekt,1867,Godis,Fullkorn totalt (g),0.0
37522,Skumgodis,1868,Godis,Fullkorn totalt (g),0.0
37523,Polkagris,1869,Godis,Fullkorn totalt (g),0.0
37524,Tuggummi,1870,Godis,Fullkorn totalt (g),0.0
37525,Klubba chokladkola karamell,1871,Godis,Fullkorn totalt (g),0.0
37526,Chokladkola mörk m. chokladöverdrag,1875,Godis,Fullkorn totalt (g),0.0
37527,Kex rån m. chokladfyllning,1876,Godis,Fullkorn totalt (g),0.0
37528,Fruktkola,1877,Godis,Fullkorn totalt (g),0.0
37529,Skumboll m. chokladöverdrag kokos,1879,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37530,Skumboll m. chokladöverdrag,1880,"Bullar, kakor, tårtor",Fullkorn totalt (g),0.0
37531,Bar energibar m. choklad nötter,1881,Godis,Fullkorn totalt (g),0.0
37532,Karameller sockerfria,1882,Godis,Fullkorn totalt (g),0.0
37533,Tuggummi sockerfritt,1884,Godis,Fullkorn totalt (g),0.0
37534,Kakaopulver fett 20-22%,1886,Smaksättare,Fullkorn totalt (g),0.0
37535,"Chokladdryckspulver m. socker fett 2,5%",1887,Smaksättare,Fullkorn totalt (g),0.0
37536,Chokladboll hemlagad,1888,"Bullar, kakor, tårtor",Fullkorn totalt (g),24.0
37537,Måltidsersättning pulver chokladsmak berikad,1891,"Måltidsersättning, sportpreparat",Fullkorn totalt (g),0.0
37538,Socker,1892,Smaksättare,Fullkorn totalt (g),0.0
37539,Brun farin,1893,Smaksättare,Fullkorn totalt (g),0.0
37540,Ljus sirap,1894,Smaksättare,Fullkorn totalt (g),0.0
37541,Honung,1896,Smaksättare,Fullkorn totalt (g),0.0
37542,Druvsocker,1897,Smaksättare,Fullkorn totalt (g),0.0
37543,Fruktsocker,1898,Smaksättare,Fullkorn totalt (g),0.0
37544,Sorbitol m. sackarin,1899,Smaksättare,Fullkorn totalt (g),0.0
37545,"Svagdricka vol. % 2,3",1900,Dryck,Fullkorn totalt (g),0.0
37546,"Öl lättöl vol. % 2,3",1901,Dryck,Fullkorn totalt (g),0.0
37547,"Öl pilsner folköl vol. % 3,5",1902,Dryck,Fullkorn totalt (g),0.0
37548,Cider vol. % 1,1903,Dryck,Fullkorn totalt (g),0.0
37549,Vin vitt vol. % 1,1904,Dryck,Fullkorn totalt (g),0.0
37550,Vin rött el. rosé vol. % 1,1905,Dryck,Fullkorn totalt (g),0.0
37551,"Öl starköl el. exportöl vol. % 5,4",1906,Dryck,Fullkorn totalt (g),0.0
37552,Vin rött vol. % 14,1907,Dryck,Fullkorn totalt (g),0.0
37553,Vin vitt vol. % 12,1908,Dryck,Fullkorn totalt (g),0.0
37554,Vin vitt el. rhenvin vol. % 10,1909,Dryck,Fullkorn totalt (g),0.0
37555,Glögg vin vol. % 10,1912,Dryck,Fullkorn totalt (g),0.0
37556,Starkvin vol. % 18 typ Madeira,1914,Dryck,Fullkorn totalt (g),0.0
37557,Starkvin vitt rött vol. % 20 typ Portvin,1915,Dryck,Fullkorn totalt (g),0.0
37558,Starkvin halvtorr vol. % 17 typ Sherry,1916,Dryck,Fullkorn totalt (g),0.0
37559,Glögg starkvin vol. % 16,1917,Dryck,Fullkorn totalt (g),0.0
37560,Brännvin renat el. vodka vol. % 40,1918,Dryck,Fullkorn totalt (g),0.0
37561,Likör söt vol. % 24,1919,Dryck,Fullkorn totalt (g),0.0
37562,Likör Kaptenlöjtnant vol. % 38,1920,Dryck,Fullkorn totalt (g),0.0
37563,Konjak el. brandy vol. % 40,1921,Dryck,Fullkorn totalt (g),0.0
37564,Punsch vol. % 26,1922,Dryck,Fullkorn totalt (g),0.0
37565,Rom vol. % 40,1923,Dryck,Fullkorn totalt (g),0.0
37566,Brännvin kryddat vol. % 40 ,1924,Dryck,Fullkorn totalt (g),0.0
37567,Gin vol. % 40,1925,Dryck,Fullkorn totalt (g),0.0
37568,Whisky vol. % 40,1926,Dryck,Fullkorn totalt (g),0.0
37569,Likör mindre söt vol. % 24,1927,Dryck,Fullkorn totalt (g),0.0
37570,Kaffedrink Irish coffee m.whiskey vispad grädde,1929,Dryck,Fullkorn totalt (g),0.0
